"new.id"	"Area.M2"	"p1"	"p2"	"p3"	"p4"	"x"	"y"	"Final.ID"	"initial1"	"initial2"	"initial3"	"initial4"
100	1950.77555	"plough"	"plough"	"grain"	"grain"	619147.3241	7087930.243	"4244"	0	0	69432.1818143247	0
101	2732.5801	"stubble"	"plough"	"grain"	"grain"	619082.6943	7087827.25	"4249"	69005.5799754153	0	150317.430563752	0
102	2104.62915	"plough"	"plough"	"plough"	"grain"	619137.0295	7088010.562	"4251"	0	0	0	73206.5445420589
103	7043.0902	"grass"	"grass"	"grain"	"grain"	618813.5018	7087757.047	"4252"	553226.023548657	0	485534.209066161	0
104	25007.70115	"grass"	"grass"	"grain"	"grain"	618287.065	7087757.357	"4265"	2108713.07131134	0	1255741.70087108	0
105	1448.6075	"grass"	"grass"	"grass"	"grass"	617570.9797	7087567.269	"4267"	131518.611993788	0	0	0
106	1391.52145	"grass"	"grass"	"grass"	"grass"	618281.0425	7087585.873	"4268"	122851.231302015	0	0	0
107	3249.55845	"grass"	"grass"	"grain"	"grain"	618987.1652	7087753.528	"4275"	243439.605196876	0	102238.475925461	0
108	4053.1632	"grass"	"grass"	"grass"	"grass"	617963.32	7087809.049	"4280"	316370.991299778	0	0	0
109	2069.4399	"grass"	"grass"	"grass"	"grass"	617459.755	7087663.425	"4284"	164469.321197944	0	0	0
110	2245.01425	"grass"	"grass"	"grass"	"grass"	617902.5425	7087836.275	"4296"	175793.835912016	0	0	0
111	3535.968	"grass"	"grass"	"grass"	"grass"	617517.3125	7087598.688	"4300"	317578.524488168	0	0	0
112	8846.58925	"grass"	"grass"	"grass"	"grass"	617901.49	7087778.897	"4307"	751338.968808009	0	0	0
113	23913.07755	"grass"	"grass"	"grain"	"grain"	618331.595	7087879.916	"4309"	1857278.23943572	0	1615565.4382064	0
114	1320.38275	"grass"	"grass"	"plough"	"plough"	616793.7111	7086991.108	"4322"	113942.802004675	0	0	0
115	85285.1036	"grass"	"grass"	"plough"	"plough"	616931.07	7087288.225	"4323"	6842311.86189916	0	0	0
116	50526.633	"grass"	"grass"	"grass"	"grass"	617280.3225	7087860.367	"4324"	4515870.26662999	0	0	0
117	6331.6453	"grass"	"grass"	"grass"	"grass"	617469.69	7087713.174	"4325"	519744.042225095	0	0	0
118	6075.05415	"grass"	"grass"	"grass"	"grass"	617514.4097	7087525.054	"4326"	504773.808921725	0	0	0
119	2293.2298	"stubble"	"plough"	"grain"	"grain"	618412.9275	7087777.025	"4327"	128636.233352002	0	161970.743743958	0
120	2744.326	"grass"	"grass"	"grain"	"grain"	618568.8275	7088147.462	"4329"	248879.605188728	0	104199.699446801	0
121	13333.23185	"stubble"	"stubble"	"plough"	"grain"	619389.6421	7087845.532	"4331"	665386.643016451	0	0	1017039.49427752
122	68085.1743	"grass"	"grass"	"grass"	"grass"	619726.0588	7087193.206	"4334"	6090912.34740932	0	0	0
123	11.861475	"grass"	"plough"	"grass"	"grass"	619398.5333	7087308.013	"4341"	1088.98423882282	0	1005.17763882682	0
124	136.077	"stubble"	"plough"	"grain"	"grain"	619422.56	7085928.922	"4343"	7003.00068825931	0	11295.7268405798	0
125	36830.1213	"grass"	"grass"	"grain"	"grain"	618716.3489	7088215.423	"4348"	2938676.54982817	0	1722090.07947219	0
126	8246.6722	"grass"	"grass"	"grass"	"grass"	619756.9075	7086890.327	"4367"	638015.216313813	0	0	0
127	5787.1397	"grass"	"grass"	"grass"	"grass"	621066.2987	7086602.053	"4375"	528355.903631545	0	0	0
128	9728.1463	"grass"	"grass"	"grass"	"grass"	620516.3801	7086457.313	"4377"	852634.407474722	0	0	0
129	3311.37805	"grass"	"grass"	"grass"	"grass"	620031.8895	7086423.387	"4378"	285918.882486222	0	0	0
130	9954.1612	"grass"	"grass"	"grass"	"grass"	619685.4167	7086431.564	"4380"	826820.867005838	0	0	0
131	5197.24945	"grass"	"grass"	"grass"	"grass"	621292.0775	7086602.625	"4381"	403114.462886597	0	0	0
132	13155.55085	"grass"	"grass"	"grass"	"grass"	620510.2142	7086904.581	"4388"	1176268.1254326	0	0	0
133	5478.8119	"grass"	"grass"	"grass"	"grass"	621100.1627	7086931.496	"4390"	446069.563490169	0	0	0
134	61625.85705	"grass"	"grass"	"grass"	"grain"	620203.7	7087119.225	"4393"	5099668.02691125	0	0	5391070.45416736
135	91261.0041	"grass"	"grass"	"grass"	"grain"	620270.335	7087410.924	"4394"	8242774.91680106	0	0	3213031.82964305
136	3717.146	"grass"	"plough"	"grass"	"grass"	619574.51	7087586.244	"4399"	303170.318252318	0	299870.349552124	0
137	5368.5772	"grass"	"grass"	"grass"	"grass"	619898.0266	7086715.178	"4400"	407969.054531669	0	0	0
138	5190.21265	"grass"	"grass"	"grass"	"grass"	620253.0475	7086180.627	"4404"	387635.500920893	0	0	0
139	8521.5892	"grass"	"grass"	"grass"	"grass"	620149.875	7085860.625	"4407"	783358.296358982	0	0	0
140	2778.1246	"stubble"	"stubble"	"grain"	"grain"	619520.755	7087929.277	"4415"	62483.3237013271	0	175561.420075585	0
141	1863.88695	"grass"	"grass"	"grass"	"grass"	620276.86	7087629.159	"4418"	156355.881747665	0	0	0
142	3906.81875	"stubble"	"stubble"	"stubble"	"stubble"	620100.2825	7087491.83	"4420"	9281.19423312383	0	0	0
143	2455.72145	"grass"	"grass"	"grass"	"grass"	619659.7975	7087211.43	"4425"	194694.517819198	0	0	0
144	6698.7609	"grass"	"grass"	"grass"	"grass"	619619.3631	7087010.339	"4430"	611079.266418433	0	0	0
145	12261.64905	"grass"	"grass"	"grass"	"grass"	620364.1214	7087118.616	"4433"	986999.632728721	0	0	0
146	3079.11085	"grass"	"grass"	"grass"	"grass"	620089.6025	7086539.328	"4434"	277127.075140238	0	0	0
147	2541.7682	"grass"	"grass"	"grass"	"grass"	619852.225	7086607.85	"4436"	208050.972619892	0	0	0
148	3912.68195	"grass"	"grass"	"grass"	"grass"	619787.6739	7086569.842	"4437"	331662.245779249	0	0	0
149	23086.6236	"grass"	"grass"	"grass"	"grass"	619970.88	7086461.114	"4438"	2106581.34868491	0	0	0
150	7121.81835	"grass"	"grass"	"grass"	"grass"	619608.79	7086389.441	"4441"	612045.582143902	0	0	0
151	6862.45135	"grass"	"grass"	"grass"	"grass"	620509.1224	7086575.749	"4446"	559112.099440102	0	0	0
